time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-31T23:57:24.324Z,55.4437,-158.3768,29.4,2.7,ml,,,,0.75,ak,ak0166zrpzo0,2019-06-13T23:11:15.124Z,"71 km SE of Perryville, Alaska",earthquake,,3.4,,,reviewed,ak,ak
2016-05-31T23:56:47.000Z,37.2645,137.0125,264.75,4.2,mb,,42,1.194,0.65,us,us20005zhh,2016-08-10T22:30:30.040Z,"24 km N of Nanao, Japan",earthquake,8.2,7.1,0.081,42,reviewed,us,us
2016-05-31T23:52:33.010Z,45.8201667,-111.327,5.79,2.16,ml,21,77,0.308,0.11,mb,mb80150529,2016-06-01T13:41:57.450Z,"4 km S of Manhattan, Montana",earthquake,0.27,2.96,0.156,8,reviewed,mb,mb
2016-05-31T23:46:49.000Z,51.8775,-168.1557,25.4,2.6,ml,,,,0.44,us,us200061vz,2019-06-13T23:11:14.617Z,"127 km SSE of Nikolski, Alaska",earthquake,2.6,7.9,,13,reviewed,ak,ak
2016-05-31T23:13:12.140Z,55.3678,-158.3391,21.3,3.3,ml,,,,0.97,ak,ak0166zrgj7y,2019-06-13T23:11:14.183Z,"78 km SE of Perryville, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2016-05-31T23:08:17.750Z,37.3966667,-113.8026667,4.04,2.39,ml,17,69,0.07805,0.14,uu,uu60149667,2016-06-01T21:21:42.860Z,"11 km NW of Veyo, Utah",earthquake,0.36,0.86,0.242,7,reviewed,uu,uu
2016-05-31T23:04:19.341Z,55.374,-158.4591,33,3.2,ml,,,,0.55,ak,ak0166zremby,2019-06-13T23:11:12.949Z,"73 km SE of Perryville, Alaska",earthquake,,1.4,,,reviewed,ak,ak
2016-05-31T23:03:31.840Z,38.8068333,-122.819,1.83,3.17,ml,86,32,0.008108,0.07,nc,nc72643806,2017-02-10T12:55:56.950Z,"8 km WSW of Cobb, California",earthquake,0.1,0.15,0.146,50,reviewed,nc,nc
2016-05-31T22:20:15.100Z,36.4889,-99.1045,4.402,2.8,ml,,133,,0.25,us,us20005zgv,2016-08-10T22:30:30.040Z,"6 km NW of Quinlan, Oklahoma",earthquake,2.2,4.8,,,reviewed,tul,tul
2016-05-31T22:00:45.120Z,12.1016,-86.2177,10,3.7,ml,,138,0.143,0.85,us,us20005zh0,2016-08-10T22:30:30.040Z,"4 km SE of Managua, Nicaragua",earthquake,2.2,2,0.053,46,reviewed,us,us
2016-05-31T21:56:10.528Z,55.3654,-158.3976,31.4,3.1,ml,,,,0.79,ak,ak0166zqivoc,2019-06-13T23:11:10.767Z,"76 km SE of Perryville, Alaska",earthquake,,1.9,,,reviewed,ak,ak
2016-05-31T21:52:33.540Z,52.2565,179.0209,9.36,2.7,ml,,175,1.396,0.39,us,us200061wd,2019-06-13T23:11:10.309Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,7.8,10.5,,,reviewed,us,ak
2016-05-31T21:45:58.890Z,51.3631,-179.1567,15.2,2.1,ml,,,,0.3,ak,ak0166zqgmj5,2019-06-13T23:11:09.885Z,"183 km WSW of Adak, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2016-05-31T21:39:51.981Z,55.3908,-158.4361,25.3,2.5,ml,,,,0.37,ak,ak0166zqfbpa,2019-06-13T23:11:09.321Z,"73 km SE of Perryville, Alaska",earthquake,,3.9,,,reviewed,ak,ak
2016-05-31T21:28:35.947Z,55.412,-158.445,25.1,2.3,ml,,,,0.68,ak,ak0166zqcxl6,2019-06-13T23:11:08.420Z,"70 km SE of Perryville, Alaska",earthquake,,1.5,,,reviewed,ak,ak
2016-05-31T21:21:06.640Z,12.1012,-86.1862,10,2.8,ml,,148,0.163,1.32,us,us20005zgk,2016-08-10T22:30:30.040Z,"7 km ESE of Managua, Nicaragua",earthquake,2.2,2,0.081,20,reviewed,us,us
2016-05-31T21:19:08.600Z,18.3288,-64.3858,75,2.1,Md,3,352.8,0.36561432,0.15,pr,pr16152006,2016-05-31T23:54:58.456Z,"43 km E of Cruz Bay, U.S. Virgin Islands",earthquake,13.3,1.5,0,3,reviewed,pr,pr
2016-05-31T21:14:15.427Z,55.3885,-158.4994,19.4,2.4,ml,,,,0.97,ak,ak0166zq9vza,2019-06-13T23:11:07.267Z,"70 km SE of Perryville, Alaska",earthquake,,2.4,,,reviewed,ak,ak
2016-05-31T20:51:23.686Z,55.3621,-158.4417,25.8,5.7,mw,,,,0.74,ak,ak0166zpwei8,2022-05-03T17:49:15.416Z,"75 km SE of Perryville, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2016-05-31T20:18:49.180Z,41.2321,-117.231,0,2.4,ml,,46,0.8,0.83,us,us200061tj,2016-08-10T22:30:30.040Z,"37 km NE of Golconda, Nevada",mining explosion,4.4,2,0.045,64,reviewed,us,us
2016-05-31T19:38:50.500Z,18.4563,-63.9748,171,3.5,Md,7,345.6,0.76716125,0.34,pr,pr16152005,2016-08-10T22:30:30.040Z,"87 km E of Cruz Bay, U.S. Virgin Islands",earthquake,11.4,2.5,0,6,reviewed,pr,pr
